,Points Earned,Total Points,Expected Output,Notes
Job Control,32.875,35,,
jobs,0.875,3.5,Alert to inform user that no jobs are running.,
infiniteloop & → jobs,3.5,0.875,"Job list with releveant information, i.e PID or PGID, Status, command name ",
Ctrl + Z → jobs,3.5,3.5,Inform user cmd with PID/PGID has been stopped/paused,
fg %1,3.5,1.75,The output from infinite loop starts printing again,
Ctrl + Z → fg [pid of infiniteloop],1.75,1.75,The output from infinite loop starts printing again,
Ctrl + C → jobs,3.5,3.5,The shell prompts,
./longrun | grep 2 | wc -l → Ctrl + C,0,1.75,No output (kill it real quick),hangs
infiniteloop & x4 → infiniteloop → Ctrl+C → jobs,1.75,1.75,Inform user of the 4 started processes. ,
infiniteloop → Ctrl+Z → jobs → bg %7 → jobs,1.75,1.75,Alerts user of resuming,
kill 24 [pid of the last infiniteloop] → jobs,1.75,1.75,Alerts user of resuming,
bg [pid of infiniteloop],1.75,1.75,Alerts user of resuming,
kill %2 → jobs,0,1.75,Alerts user of signal being sent,
disown %3 → jobs,0.875,0.875,No output required.,
disown [pid of 4th infiniteloop] → jobs,0.875,0.875,No output required.,
disown → jobs,0.875,0.875,No output required.,
ls | grep .txt | wc -l &,3.375,3.5,The user should be informed when the job is done,user not informed
cat < jcread.txt | grep 2 | wc -l > jctest.txt &,3.25,3.5,This should work,additional output in file: sfish 
,Points Earned,Total Points,Expected Output,Notes
EC - Part 1 - Variables and Echo Support,0,15,,
ls / → echo $?,0,15,Prints 0,
set $? = 5 → echo $?,,,Prints 0,
ls invalid → echo $?,,,Prints non-0,
echo $USER,,,Prints the system user,
set TEST = passed → echo $TEST,,,Prints passed (the value of TEST),
set PATH = $PATH:/var/tmp → printenv,,,PATH should have ':/var/tmp' appended to the end,
set DIR = / → ls $DIR,,,Prints contents of root folder,
,Points Earned,Total Points,Expected Output,Notes
EC - Part 2 - Git Repo Info,0,5,,
cd gittest,0,5,Prompt has git branch info,
rm file1.txt,,,Prompt has a * to mark dirty,
git reset --hard,,,Prompt loses the * to mark clean,
git checkout -b dev,,,Prompt branch info changes to dev,
git checkout master,,,Prompt branch info changes to master,
,Points Earned,Total Points,Expected Output,Notes
EC - Part 3 - Quoted Arguments,#VALUE!,10,,
"cat quotetest.txt | grep ""what is knowledge?""",#VALUE!,10,"Finds sentence, does not find the quotes in the test file.",
cat quotetest.txt | grep 'what is knowledge?',,,"Finds sentence, does not find the quotes in the test file.",
"cat quotetest.txt | grep ""\""knowledge\""""",,,Finds word AND the quotes around it in the text file,
"cat quotetest.txt | grep ""test a → [press enter] → sentence from → [press enter] → file""",,,Finds sentence,
"./ec3 ""does it really work? → [press enter] x5 → """,,,"Program prints ASCII value of each character in 'does it really work?\n\n\n\n\n' and INCLUDES THE ENTIRE THING AS ONE ARGUMENT AND DOES NOT INCLUDE QUOTES IN THE ARGUMENT (value of "": 34). ",
,Points Earned,Total Points,Expected Output,Notes
EC - Part 4 - File Globbing,0,5,,
file *.txt,0,5,Info about .txt files only,
file *.txt | wc -l,,,Number of .txt files only,
file path/to/dir/*.txt,,,Info about .txt files only,
file path/to/dir/*.txt | wc -l,,,Number of .txt files only,
file mega*,,,Info about files with prefix tester only,
file mega* | wc -l,,,Number of files with prefix tester only,
file -bi *COLOR*,,,Info about files that contain erf in their names only,
file -bi *COLOR* | wc -l,,,Number of files that contain erf in their names only,
,Points Earned,Total Points,Expected Output,Notes
EC - Part 5.1 - Special Redirection,0,5,,
./ec5_1 2>&1,0,5,Prints both stderr and stdout to stdout,
./ec5_1 &> test_file.txt,,,test_file contains all output from ec5,
cat some_file.txt | ./ec5_2 2>&1 test_file.txt,,,"Contents of some_file.txt printed to terminal, parts of it to stderr, parts of it to stdout",
EC - Part 5.2 - Special Redirection,0,2,,
./ec5_1 2>&1 > test_file.txt,0,2,test_file contains all output from ec5,
./ec5_1 > test_file.txt 2>&1,,,,
EC - Part 5.3 - Special Redirection,0,2,,
./ec5_1 >&2,0,2,Prints both stderr and stdout to stderr,
EC - Part 5.4 - Special Redirection,0,2,,
./ec5_1 >&2 2> test_file.txt,0,2,test_file contains all output from ec5,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Points Earned,Total Points,,
Final Score,79.875,100,,
EC Score,#VALUE!,40,,
