Testcase,Points,Notes,Description
Print-Test-04,4,,"Stats: Print a stats struct with histogram.
Max Pts: 4"
Main-Test-01,0,"SIGSEGV: Segmentation Fault
","Student program fail test.
Args: -v ana invalid_dir
Expected Exit Code: 1
Max Pts: 1.5"
Main-Test-02,0,"Signal Number: -6
","Student program fail test.
Args: -v stats gdata/testfiles/stats/fail
Expected Exit Code: 1
Max Pts: 1.5"
Main-Test-03,0,"SIGSEGV: Segmentation Fault
","Student program fail test.
Args: -v
Expected Exit Code: 1
Max Pts: 1.5"
Main-Test-04,1.5,,"Student program success test.
Args: -v ana gdata/testfiles/ana/onefile_small
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-05,1.5,,"Student program success test.
Args: -v stats gdata/testfiles/stats/onefile_small
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-06,1.5,,"Student program success test.
Args: ana gdata/testfiles/ana/files_small
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-07,1.5,,"Student program success test.
Args: stats gdata/testfiles/stats/files_small
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-08,1.5,,"Student program success test.
Args: -v ana gdata/testfiles/ana/onefile_large
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-09,1.5,,"Student program success test.
Args: -v stats gdata/testfiles/stats/onefile_large
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-10,1.5,,"Student program success test.
Args: ana gdata/testfiles/ana/files_large
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-11,1.5,,"Student program success test.
Args: stats gdata/testfiles/stats/files_large
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-12,0.9375,,"Student program success test.
Args: ana gdata/testfiles/ana/var_low
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-13,0.9375,,"Student program success test.
Args: stats gdata/testfiles/stats/var_low
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-14,1.5,,"Student program success test.
Args: ana gdata/testfiles/ana/var_high
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-15,1.5,,"Student program success test.
Args: stats gdata/testfiles/stats/var_high
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-16,1.5,,"Student program success test.
Args: ana gdata/testfiles/common/empty
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-17,1.5,,"Student program success test.
Args: stats gdata/testfiles/common/empty
Expected Exit Code: 0
Max Pts: 1.5"
Main-Test-18,0.75,,"Help menu test.
Args: -h
Expected Exit Code: 0
Max Pts: 1.5"
Total,73.625/100,,
